geohash6,lat,long,lat_err,long_err,lat_index,long_index
qp03wc,-5.35308837890625,90.6536865234375,0.00274658203125,0.0054931640625,24,6
qp03yc,-5.30914306640625,90.6536865234375,0.00274658203125,0.0054931640625,32,6
qp03wf,-5.34759521484375,90.6536865234375,0.00274658203125,0.0054931640625,25,6
qp03wb,-5.35858154296875,90.6536865234375,0.00274658203125,0.0054931640625,23,6
qp03wz,-5.32012939453125,90.6536865234375,0.00274658203125,0.0054931640625,30,6
qp03qv,-5.37506103515625,90.6536865234375,0.00274658203125,0.0054931640625,20,6
qp03qu,-5.38055419921875,90.6536865234375,0.00274658203125,0.0054931640625,19,6
qp03wv,-5.33111572265625,90.6536865234375,0.00274658203125,0.0054931640625,28,6
qp03yg,-5.29815673828125,90.6536865234375,0.00274658203125,0.0054931640625,34,6
qp03yu,-5.29266357421875,90.6536865234375,0.00274658203125,0.0054931640625,35,6
qp03qy,-5.36956787109375,90.6536865234375,0.00274658203125,0.0054931640625,21,6
qp03yv,-5.28717041015625,90.6536865234375,0.00274658203125,0.0054931640625,36,6
qp03qg,-5.38604736328125,90.6536865234375,0.00274658203125,0.0054931640625,18,6
qp03wg,-5.34210205078125,90.6536865234375,0.00274658203125,0.0054931640625,26,6
qp06nf,-5.25970458984375,90.6536865234375,0.00274658203125,0.0054931640625,41,6
qp03nz,-5.40802001953125,90.6536865234375,0.00274658203125,0.0054931640625,14,6
qp03wy,-5.32562255859375,90.6536865234375,0.00274658203125,0.0054931640625,29,6
qp03qb,-5.40252685546875,90.6536865234375,0.00274658203125,0.0054931640625,15,6
qp06nv,-5.24322509765625,90.6536865234375,0.00274658203125,0.0054931640625,44,6
qp03qc,-5.39703369140625,90.6536865234375,0.00274658203125,0.0054931640625,16,6
qp03wu,-5.33660888671875,90.6536865234375,0.00274658203125,0.0054931640625,27,6
qp03ny,-5.41351318359375,90.6536865234375,0.00274658203125,0.0054931640625,13,6
qp03qf,-5.39154052734375,90.6536865234375,0.00274658203125,0.0054931640625,17,6
qp03yb,-5.31463623046875,90.6536865234375,0.00274658203125,0.0054931640625,31,6
qp03qz,-5.36407470703125,90.6536865234375,0.00274658203125,0.0054931640625,22,6
qp03yz,-5.27618408203125,90.6536865234375,0.00274658203125,0.0054931640625,38,6
qp06nb,-5.27069091796875,90.6536865234375,0.00274658203125,0.0054931640625,39,6
qp03yf,-5.30364990234375,90.6536865234375,0.00274658203125,0.0054931640625,33,6
qp03yy,-5.28167724609375,90.6536865234375,0.00274658203125,0.0054931640625,37,6
qp06nu,-5.24871826171875,90.6536865234375,0.00274658203125,0.0054931640625,43,6
qp06ng,-5.25421142578125,90.6536865234375,0.00274658203125,0.0054931640625,42,6
qp03nb,-5.44647216796875,90.6536865234375,0.00274658203125,0.0054931640625,7,6
qp06nc,-5.26519775390625,90.6536865234375,0.00274658203125,0.0054931640625,40,6
qp02yz,-5.45196533203125,90.6536865234375,0.00274658203125,0.0054931640625,6,6
qp06ny,-5.23773193359375,90.6536865234375,0.00274658203125,0.0054931640625,45,6
qp02yv,-5.46295166015625,90.6536865234375,0.00274658203125,0.0054931640625,4,6
qp02yy,-5.45745849609375,90.6536865234375,0.00274658203125,0.0054931640625,5,6
qp03nf,-5.43548583984375,90.6536865234375,0.00274658203125,0.0054931640625,9,6
qp02yc,-5.48492431640625,90.6536865234375,0.00274658203125,0.0054931640625,0,6
qp02yf,-5.47943115234375,90.6536865234375,0.00274658203125,0.0054931640625,1,6
qp02yu,-5.46844482421875,90.6536865234375,0.00274658203125,0.0054931640625,3,6
qp03w9,-5.35308837890625,90.6427001953125,0.00274658203125,0.0054931640625,24,5
qp03y9,-5.30914306640625,90.6427001953125,0.00274658203125,0.0054931640625,32,5
qp03wd,-5.34759521484375,90.6427001953125,0.00274658203125,0.0054931640625,25,5
qp03w8,-5.35858154296875,90.6427001953125,0.00274658203125,0.0054931640625,23,5
qp03wx,-5.32012939453125,90.6427001953125,0.00274658203125,0.0054931640625,30,5
qp03qt,-5.37506103515625,90.6427001953125,0.00274658203125,0.0054931640625,20,5
qp03qs,-5.38055419921875,90.6427001953125,0.00274658203125,0.0054931640625,19,5
qp03wt,-5.33111572265625,90.6427001953125,0.00274658203125,0.0054931640625,28,5
qp03ye,-5.29815673828125,90.6427001953125,0.00274658203125,0.0054931640625,34,5
qp03ys,-5.29266357421875,90.6427001953125,0.00274658203125,0.0054931640625,35,5
qp03qw,-5.36956787109375,90.6427001953125,0.00274658203125,0.0054931640625,21,5
qp03yt,-5.28717041015625,90.6427001953125,0.00274658203125,0.0054931640625,36,5
qp03qe,-5.38604736328125,90.6427001953125,0.00274658203125,0.0054931640625,18,5
qp03we,-5.34210205078125,90.6427001953125,0.00274658203125,0.0054931640625,26,5
qp06nd,-5.25970458984375,90.6427001953125,0.00274658203125,0.0054931640625,41,5
qp03nx,-5.40802001953125,90.6427001953125,0.00274658203125,0.0054931640625,14,5
qp03ww,-5.32562255859375,90.6427001953125,0.00274658203125,0.0054931640625,29,5
qp03q8,-5.40252685546875,90.6427001953125,0.00274658203125,0.0054931640625,15,5
qp06nt,-5.24322509765625,90.6427001953125,0.00274658203125,0.0054931640625,44,5
qp03q9,-5.39703369140625,90.6427001953125,0.00274658203125,0.0054931640625,16,5
qp03ws,-5.33660888671875,90.6427001953125,0.00274658203125,0.0054931640625,27,5
qp03nw,-5.41351318359375,90.6427001953125,0.00274658203125,0.0054931640625,13,5
qp03qd,-5.39154052734375,90.6427001953125,0.00274658203125,0.0054931640625,17,5
